Variant,Total Time,Number of Events,Number of Application,Number of Offer,Size of Maximal Merging Candidate,Number of Summarizations
0,0.010520999999997116,9,1,1,1,1
1,0.0072726000000002955,8,1,1,1,1
2,0.009002399999999966,9,1,1,1,1
3,0.006504300000003127,10,1,1,1,1
4,0.00962409999999636,12,1,1,1,1
5,0.0071456000000011954,11,1,1,1,1
6,0.007998099999994679,13,1,1,1,1
7,0.0070572999999996,11,1,1,1,1
8,0.010417699999997865,13,1,1,1,1
9,0.008308700000000613,11,1,1,1,1
10,0.009822499999998513,12,1,1,1,1
11,0.01119860000000017,10,1,1,1,1
12,0.00822610000000168,10,1,1,1,1
13,0.0107223999999988,12,1,1,1,1
14,0.009735900000002573,8,1,1,1,1
15,0.008033199999999852,10,1,1,1,1
16,0.007446399999999187,10,1,1,1,1
17,0.037751999999997565,12,1,2,2,2
18,0.007897899999996127,8,1,1,1,1
19,0.008994600000001185,12,1,1,1,1
20,0.007639900000000921,12,1,1,1,1
21,0.008204899999995519,13,1,1,1,1
22,0.008301600000002907,14,1,1,1,1
23,0.011001400000004935,11,1,1,1,1
24,0.011852300000001037,14,1,1,1,1
25,0.009949599999998782,14,1,1,1,1
26,0.00924659999999733,12,1,1,1,1
27,0.010169400000002327,11,1,1,1,1
28,0.03696779999999933,12,1,2,2,2
29,0.012479899999995325,11,1,1,1,1
30,0.0098401999999993,10,1,1,1,1
31,0.0100623000000013,11,1,1,1,1
32,0.037294599999995626,11,1,2,2,2
33,0.00849070000000296,10,1,1,1,1
34,0.010961399999999344,10,1,1,1,1
35,0.008736300000002473,10,1,1,1,1
36,0.011640800000002116,15,1,1,1,1
37,0.0388243000000017,12,1,2,2,2
38,0.007960099999998249,11,1,1,1,1
39,0.008942799999999806,11,1,1,1,1
40,0.03888089999999522,12,1,2,2,2
41,0.041321299999999894,11,1,2,2,2
42,0.00991650000000277,13,1,1,1,1
43,0.008370700000000397,11,1,1,1,1
44,0.009244900000005885,13,1,1,1,1
45,0.010935099999997533,12,1,1,1,1
46,0.00945469999999915,15,1,1,1,1
47,0.012125400000002173,12,1,1,1,1
48,0.010131100000002391,13,1,1,1,1
49,0.0103253000000052,12,1,1,1,1
50,0.00753660000000167,12,1,1,1,1
51,0.010503599999999835,12,1,1,1,1
52,0.008708300000002112,12,1,1,1,1
53,0.008064599999997313,13,1,1,1,1
54,0.010542899999997246,12,1,1,1,1
55,0.009089800000005255,14,1,1,1,1
56,0.009222000000001174,13,1,1,1,1
57,0.009615699999997673,13,1,1,1,1
58,0.013105600000002937,13,1,1,1,1
59,0.015949999999996578,13,1,1,1,1
60,0.01014550000000014,11,1,1,1,1
61,0.015818600000002903,13,1,2,1,1
62,0.043266899999999,13,1,2,2,2
63,0.01618360000000507,15,1,2,1,1
64,0.009445200000001819,14,1,1,1,1
65,0.009916300000000433,12,1,1,1,1
66,0.012515400000005172,12,1,1,1,1
67,0.018318700000001797,15,1,2,1,1
68,0.010385299999995823,13,1,1,1,1
69,0.015264099999996006,16,1,2,1,1
70,0.009400800000001652,16,1,1,1,1
71,0.008904599999993934,10,1,1,1,1
72,0.007967999999998199,12,1,1,1,1
73,0.011223399999998662,14,1,1,1,1
74,0.01233620000000002,16,1,1,1,1
75,0.011078500000003544,15,1,1,1,1
76,0.013535400000002085,12,1,1,1,1
77,0.009560899999996764,14,1,1,1,1
78,0.03923900000000202,13,1,2,2,2
79,0.01746329999999574,14,1,2,1,1
80,0.015301700000001972,14,1,2,1,1
81,0.9909006999999974,15,1,3,3,2
82,0.04147289999999515,13,1,2,2,2
83,0.015496800000001087,16,1,2,1,1
84,0.010621499999999173,15,1,1,1,1
85,0.04219880000000131,13,1,2,2,2
86,0.010013000000000716,11,1,1,1,1
87,0.00939409999999441,16,1,1,1,1
88,0.010467599999998356,12,1,1,1,1
89,0.010888900000004753,11,1,1,1,1
90,0.011781800000001397,14,1,1,1,1
91,0.010189900000000307,13,1,1,1,1
92,0.009761599999997372,15,1,1,1,1
93,0.009944500000003131,14,1,1,1,1
94,0.016942199999995466,17,1,2,1,1
95,0.010637600000002578,10,1,1,1,1
96,0.015498399999998469,15,1,2,1,1
97,0.015559099999997272,14,1,2,1,1
98,0.008036600000004057,12,1,1,1,1
99,0.01657029999999793,16,1,2,1,1
100,0.008872400000001335,15,1,1,1,1
101,0.010243400000000236,14,1,1,1,1
102,0.010629800000003797,12,1,1,1,1
103,0.04000130000000013,11,1,2,2,2
104,0.008626200000001916,14,1,1,1,1
105,0.014260700000001236,14,1,2,1,1
106,0.012044899999999359,13,1,1,1,1
107,0.010242499999996824,12,1,1,1,1
108,0.009374999999998579,10,1,1,1,1
109,0.009600100000000111,13,1,1,1,1
110,0.010917300000002683,14,1,1,1,1
111,0.010536999999999352,12,1,1,1,1
112,0.008107699999996498,10,1,1,1,1
113,0.014406100000002198,16,1,2,1,1
114,0.03681760000000622,11,1,2,2,2
115,0.014828299999997796,15,1,2,1,1
116,0.013509499999997843,14,1,2,1,1
117,0.009853499999998405,14,1,1,1,1
118,0.01421150000000182,13,1,2,1,1
119,0.01017360000000167,16,1,1,1,1
120,0.009843500000002336,15,1,1,1,1
121,0.010857800000003692,14,1,1,1,1
122,0.008277299999996046,13,1,1,1,1
123,0.00895930000000078,12,1,1,1,1
124,0.00912299999999533,12,1,1,1,1
125,0.007536100000002932,8,1,1,1,1
126,0.014968099999997264,16,1,2,1,1
127,0.018040700000000243,16,1,2,1,1
128,0.008757199999998022,12,1,1,1,1
129,0.0096878000000018,10,1,1,1,1
130,0.008897400000002165,12,1,1,1,1
131,0.015211699999994721,15,1,2,1,1
132,0.00915510000000097,15,1,1,1,1
133,0.010865400000000136,12,1,1,1,1
134,0.007696299999999212,8,1,1,1,1
135,0.014761400000004699,16,1,2,1,1
136,0.014775299999996605,16,1,2,1,1
137,0.008567599999999231,14,1,1,1,1
138,0.014055700000000115,14,1,2,1,1
139,0.0137400999999997,14,1,2,1,1
140,0.011621900000001517,14,1,1,1,1
141,0.01162720000000661,13,1,1,1,1
142,0.041012699999996016,13,1,2,2,2
143,0.005330399999998292,7,1,1,1,1
144,0.015517400000000237,17,1,2,1,1
145,0.009684499999998764,15,1,1,1,1
146,0.011504499999993811,14,1,1,1,1
147,0.016014800000000662,17,1,2,1,1
148,0.016328199999996684,17,1,2,1,1
149,0.01637099999999947,16,1,2,1,1
150,0.010773799999995504,14,1,1,1,1
151,0.9668500000000009,14,1,3,3,2
152,0.012556000000003564,13,1,2,1,1
153,0.012548600000002352,13,1,2,1,1
154,0.041376399999997204,13,1,2,2,2
155,0.007860699999994836,9,1,1,1,1
156,0.010373100000002466,17,1,1,1,1
157,0.010494800000003579,17,1,1,1,1
158,0.008709199999998418,14,1,1,1,1
159,0.0090787999999975,12,1,1,1,1
160,0.016426899999999023,17,1,2,1,1
161,0.009203100000000575,16,1,1,1,1
162,0.009231600000006779,15,1,1,1,1
163,0.014022799999999336,15,1,2,1,1
164,0.01043690000000197,14,1,1,1,1
165,0.01371960000000172,14,1,2,1,1
166,0.012919500000002415,14,1,2,1,1
167,0.008305499999998744,13,1,1,1,1
168,0.008211299999999255,13,1,1,1,1
169,0.007900800000001595,11,1,1,1,1
170,0.00671429999999873,10,1,1,1,1
171,0.009423400000002857,9,1,1,1,1
172,0.007493000000003747,8,1,1,1,1
173,0.005097999999996716,6,1,1,1,1
174,0.944275300000001,15,1,3,3,2
175,0.014566799999997215,15,1,2,1,1
176,0.011613099999998155,15,1,1,1,1
177,0.04286340000000166,14,1,2,2,2
178,0.010794500000002927,14,1,1,1,1
179,0.01377090000000436,13,1,2,1,1
180,0.01080040000000082,13,1,1,1,1
181,0.0402525999999952,12,1,2,2,2
182,0.03880730000000199,11,1,2,2,2
183,0.009180899999996939,9,1,1,1,1
184,0.004630999999996277,7,1,1,1,1
185,0.014732099999996251,17,1,2,1,1
186,0.9848901000000012,15,1,3,3,2
187,0.014766800000003855,15,1,2,1,1
188,0.012642400000004272,15,1,1,1,1
189,0.9667986999999911,14,1,3,3,2
190,0.042876800000001936,14,1,2,2,2
191,0.04426870000000349,14,1,2,2,2
192,0.035277899999996976,11,1,2,2,2
193,0.008599500000002536,9,1,1,1,1
194,0.015670999999997548,18,1,2,1,1
195,0.015560100000001853,17,1,2,1,1
196,0.015570600000003765,17,1,2,1,1
197,0.9302523000000065,15,1,3,3,2
198,0.014601099999993039,15,1,2,1,1
199,0.00934069999999565,14,1,1,1,1
200,0.008812800000001175,14,1,1,1,1
201,0.01412249999999915,13,1,2,1,1
202,0.010614599999996699,13,1,1,1,1
203,0.035377000000011094,11,1,2,2,2
204,0.03415589999998758,11,1,2,2,2
205,0.01700999999999908,19,1,2,1,1
206,0.011429499999991322,16,1,1,1,1
207,0.9443595999999985,15,1,3,3,2
208,0.008640200000002096,14,1,1,1,1
209,0.04423370000000659,14,1,2,2,2
210,0.01099320000000148,13,1,1,1,1
211,0.009840900000000374,12,1,1,1,1
212,0.009882800000013958,12,1,1,1,1
213,0.036934899999991444,12,1,2,2,2
214,0.00886970000000531,9,1,1,1,1
215,0.005340799999999035,7,1,1,1,1
216,0.01619990000000371,18,1,2,1,1
217,0.01551539999999818,18,1,2,1,1
218,0.010758899999999016,16,1,1,1,1
219,0.014205900000007432,15,1,2,1,1
220,0.009900599999994597,15,1,1,1,1
221,0.014742600000005268,14,1,2,1,1
222,0.010644700000000284,14,1,1,1,1
223,0.014761500000005867,14,1,2,1,1
224,0.012408000000007746,14,1,1,1,1
225,0.010247999999990043,13,1,1,1,1
226,0.011251200000003792,13,1,1,1,1
227,0.04007940000001042,12,1,2,2,2
228,0.007623399999999947,12,1,1,1,1
