Level,Total Time,Mapping Time,Clustering Time,Summarization Time,Size,Number of Summarizations,Average Number of Offers
5,668.5945806,-165.01456209999924,0.004122300000744872,503.5758903999995,2,1,2.5
4,2366.0810985999997,-1157.4721213000012,0.007392299999992247,1208.6015755999997,4,2,1.75
3,1366.3439169000012,-865.582742300001,0.03779450000001816,500.72336170000017,8,4,1.5
2,858.2593730000008,-787.1163735999999,0.3738717000014731,70.76909599999999,16,8,1.375
1,882.9505867999997,-797.5811661999996,40.43347540000104,44.93591329999981,32,16,1.34375
5,1742.2220710000001,-741.9137895999993,0.004695600000559352,1000.3035793999989,2,1,2.0
4,1805.3809911000026,-1051.9465406999989,0.007541700000729179,753.4268985000017,4,2,2.0
3,1347.579703200001,-991.0318728999991,0.0443784000017331,356.5034311999989,8,4,1.625
2,1091.4667722999984,-922.1038238000001,0.3495986999987508,169.01331550000032,16,8,1.4375
1,1131.693288800001,-980.7854783999992,42.27006340000298,108.6376726999988,32,16,1.375
5,1664.7864561999995,-621.5273593999991,0.004293699999834644,1043.254795599998,2,1,2.5
4,1237.8679689000019,-785.5895448999981,0.007372399999439949,452.271039700001,4,2,2.0
3,1149.0723227999988,-890.8689897000004,0.057032900000194786,258.1462806999989,8,4,1.875
2,1197.1208372,-954.9086828,0.8169749000007869,241.39514280000003,16,8,1.625
1,1173.7484354000007,-957.6993129000002,30.2182404999985,185.8308457000021,32,16,1.59375
5,1477.4237938000006,-365.8335655999981,0.00474969999777386,1111.585468600002,2,1,2.0
4,1815.3094502999957,-1121.8198695999963,0.00949140000011539,693.4800775999975,4,2,1.75
3,1592.9894621000021,-1243.5974800999975,0.08268669999961276,349.30927290000545,8,4,1.625
2,1303.7544312000027,-1257.8988156000014,0.4155587999994168,45.44000900000174,16,8,1.5625
1,1263.131089300001,-1196.2569662000024,32.98407909999878,33.89001149999967,32,16,1.53125
5,4147.325698699999,-1543.550407200004,0.0068289999981061555,2603.768452700002,2,1,2.5
4,2424.1193544000052,-1856.754795700006,0.01041599999734899,567.3541274000017,4,2,2.0
3,2014.549672400004,-1766.9378302999976,0.06005550000554649,247.55175959999906,8,4,1.75
2,2053.3625661999977,-1770.4845025999966,0.365747800002282,282.5122604999997,16,8,1.5
1,1504.0333847000002,-1422.3063484000013,39.61340249999921,42.11358360000304,32,16,1.4375
