Variant,Total Time,Number of Events,Number of Application,Number of Offer,Size of Maximal Merging Candidate,Number of Summarizations,Largest Interaction Point
0,0.02305820000000125,9,0,0,1,1,4
1,0.020985100000000756,7,0,0,1,1,4
2,0.03133579999999725,9,0,0,2,1,4
3,0.0236421,9,0,0,1,1,4
4,0.028309300000000093,10,0,0,1,1,4
5,0.050729499999999206,12,0,0,2,1,5
6,0.05012449999999902,12,0,0,2,1,5
7,0.024061200000002003,8,0,0,1,1,4
8,0.06786589999999748,12,0,0,3,1,5
9,0.028327099999998495,9,0,0,2,1,4
10,0.06033180000000016,12,0,0,3,1,5
11,0.0339710999999987,11,0,0,1,1,4
12,0.03567099999999712,10,0,0,2,1,5
13,0.036829999999998364,10,0,0,2,1,5
14,0.09183940000000135,16,0,0,2,1,6
15,0.09148560000000217,16,0,0,2,1,6
16,0.13608110000000195,15,0,0,4,1,6
17,0.08105239999999725,12,0,0,4,1,5
18,0.0336950999999992,9,0,0,3,1,4
19,0.0920804000000004,16,0,0,2,1,6
20,0.16351119999999852,16,0,0,2,2,6
21,0.09153959999999728,16,0,0,2,1,6
22,0.09204240000000041,16,0,0,2,1,6
23,0.1356774999999999,15,0,0,4,1,6
24,0.1346424000000006,15,0,0,4,1,6
25,0.10989079999999873,15,0,0,3,1,6
26,0.06224410000000091,13,0,0,2,1,5
27,0.0617416999999989,13,0,0,2,1,5
28,0.07210290000000086,13,0,0,3,1,5
29,0.06135270000000048,12,0,0,3,1,5
30,0.047527399999999886,11,0,0,2,1,5
31,0.03413049999999984,10,0,0,2,1,4
32,0.027684499999999446,10,0,0,1,1,4
33,0.05270750000000035,9,0,0,4,1,5
34,NaN,38,0,0,4,0,10
35,NaN,38,0,0,4,0,10
36,NaN,37,0,0,4,0,10
37,NaN,37,0,0,4,0,10
38,NaN,37,0,0,4,0,10
39,NaN,37,0,0,4,0,10
40,NaN,36,0,0,4,0,10
41,NaN,36,0,0,4,0,10
42,NaN,36,0,0,4,0,10
43,NaN,36,0,0,4,0,10
44,NaN,36,0,0,4,0,10
45,NaN,36,0,0,4,0,10
46,NaN,36,0,0,4,0,10
47,NaN,36,0,0,4,0,10
48,NaN,36,0,0,4,0,10
49,NaN,36,0,0,4,0,10
50,NaN,36,0,0,4,0,10
