Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.2616499000000019,0.24214309999999983,0.019506800000002045,17,0.0,0.0,0,8,0,2
0,2,0.16458749999999966,0.14739690000000039,0.01719059999999928,18,0.0,0.0,0,4,0,2
0,3,0.29139369999999687,0.2700037999999978,0.021389899999999074,21,0.0,0.0,0,16,0,2
0,4,0.09405599999999836,0.0793810999999991,0.014674899999999269,15,0.0,0.0,0,4,0,2
0,5,0.18654000000000082,0.1691016999999988,0.017438300000002016,17,0.0,0.0,0,8,0,2
0,6,0.36378970000000166,0.33987709999999893,0.023912600000002726,24,0.0,0.0,0,20,0,2
0,7,0.21124209999999977,0.19221040000000045,0.01903169999999932,19,0.0,0.0,0,8,0,2
0,8,0.2211350000000003,0.2013241999999984,0.019810800000001905,18,0.0,0.0,0,12,0,2
0,9,0.13293350000000004,0.11661929999999998,0.016314200000000056,16,0.0,0.0,0,4,0,2
1,2,0.2547300000000021,0.2344633999999992,0.02026660000000291,21,0.0,0.0,0,6,0,2
1,3,0.3503923000000029,0.3247150000000012,0.02567730000000168,24,0.0,0.0,0,10,0,2
1,4,0.1758299999999977,0.15630789999999806,0.019522099999999654,18,0.0,0.0,0,4,0,2
1,5,0.2812000999999995,0.26027619999999985,0.020923899999999662,20,0.0,0.0,0,2,0,2
1,6,0.3261171999999988,0.29851389999999967,0.02760329999999911,27,0.0,0.0,0,12,0,2
1,7,0.24387120000000095,0.22225870000000114,0.021612499999999812,22,0.0,0.0,0,2,0,2
1,8,0.26005859999999714,0.2374598999999975,0.02259869999999964,21,0.0,0.0,0,6,0,2
1,9,0.19034300000000215,0.17011559999999903,0.020227400000003115,19,0.0,0.0,0,4,0,2
2,3,0.27829309999999907,0.25463590000000025,0.023657199999998824,25,0.0,0.0,0,12,0,2
2,4,0.21202809999999772,0.1937382999999997,0.018289799999998024,19,0.0,0.0,0,8,0,2
2,5,0.20475120000000047,0.18491300000000166,0.019838199999998807,21,0.0,0.0,0,4,0,2
2,6,0.5362045000000002,0.5096441000000027,0.026560399999997486,28,0.0,0.0,0,18,0,2
2,7,0.2774560999999949,0.2573775999999981,0.02007849999999678,23,0.0,0.0,0,4,0,2
2,8,0.23212170000000754,0.2104877000000016,0.021634000000005926,22,0.0,0.0,0,8,0,2
2,9,0.19977670000000103,0.18188519999999642,0.017891500000004612,20,0.0,0.0,0,2,0,2
3,4,0.29704649999999333,0.273563799999998,0.023482699999995305,22,0.0,0.0,0,12,0,2
3,5,0.27902299999999514,0.2540284999999969,0.024994499999998254,24,0.0,0.0,0,8,0,2
