Level,Total Time,Mapping Time,Clustering Time,Summarization Time,Size,Number of Summarizations,Average Number of Offers
2,0.7774515999999991,0.022622499999997103,0.004234000000003846,0.7505887999999956,2,1,0.0
1,0.9638163999999989,0.0784427999999977,0.008288200000002632,0.8770783000000009,4,2,0.0
2,1.3700457999999998,0.020775399999998,0.003957300000003272,1.3453075999999982,2,1,0.0
1,0.8695511999999965,0.0733208999999988,0.00892170000000192,0.7873030999999955,4,2,0.0
2,1.3792472000000018,0.020812200000001724,0.004179099999994662,1.3542494000000005,2,1,0.0
1,0.8847816000000037,0.07439010000000223,0.00803499999999957,0.8023510000000016,4,2,0.0
2,0.8398175999999964,0.016819500000003984,0.004448899999999867,0.8185430999999994,2,1,0.0
1,0.8413261999999975,0.06442739999999958,0.008124900000005653,0.7687687999999966,4,2,0.0
2,1.2967101999999997,0.020713600000000554,0.004118000000005395,1.2718719999999948,2,1,0.0
1,0.9091813999999943,0.07331640000000306,0.008391699999997115,0.8274674999999974,4,2,0.0
