Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Object Instances,Average Number of Materials,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.13460780000000483,0.11741729999999961,0.017190500000005215,16,6.5,0.5,1,4,1,2
0,2,0.1422578000000101,0.12378430000000407,0.018473500000006027,20,7.0,1.0,1,0,0,2
0,3,0.1609844000000038,0.14325570000000454,0.017728699999999264,18,7.0,1.0,1,2,0,2
0,4,0.1885298999999918,0.16948529999999806,0.01904459999999375,19,7.0,1.0,1,4,0,2
0,5,0.19614250000000055,0.17316069999999684,0.022981800000003716,24,7.0,1.0,1,3,0,2
0,6,0.2594123999999951,0.23605529999999675,0.023357099999998354,24,7.0,1.0,1,3,0,2
0,7,0.1835823999999988,0.1653917000000007,0.018190699999998117,17,6.5,0.5,1,8,1,2
1,2,0.15457499999999413,0.1381465999999989,0.016428399999995236,18,6.5,0.5,1,4,1,2
1,3,0.13490950000000623,0.118179700000006,0.01672980000000024,16,6.5,0.5,1,4,1,2
1,4,0.18569620000000242,0.16746470000000357,0.018231499999998846,17,6.5,0.5,1,8,1,2
1,5,0.20657750000000163,0.1852507999999986,0.02132670000000303,22,6.5,0.5,1,7,1,2
1,6,0.276005099999999,0.25357629999999887,0.022428800000000138,22,6.5,0.5,1,7,1,2
1,7,0.09259450000000413,0.07733860000000448,0.015255899999999656,15,6.0,0.0,0,4,0,2
2,3,0.19761820000000085,0.17945960000000127,0.01815859999999958,20,7.0,1.0,1,2,0,2
2,4,0.19246780000000285,0.1723076999999975,0.020160100000005343,21,7.0,1.0,1,4,0,2
2,5,0.19923829999999754,0.17552870000000098,0.023709599999996556,26,7.0,1.0,1,3,0,2
2,6,0.38411680000000104,0.3578468999999984,0.02626990000000262,26,7.0,1.0,1,3,0,2
2,7,0.20830349999999953,0.18988149999999848,0.01842200000000105,19,6.5,0.5,1,8,1,2
3,4,0.2142444999999995,0.19420459999999906,0.020039900000000443,19,7.0,1.0,1,6,0,2
3,5,0.2412711999999999,0.21803769999999645,0.02323350000000346,24,7.0,1.0,1,5,0,2
3,6,0.3165863999999985,0.2932233000000011,0.023363099999997416,24,7.0,1.0,1,5,0,2
3,7,0.18661339999999882,0.16583269999999573,0.020780700000003094,17,6.5,0.5,1,8,1,2
4,5,0.3044203999999979,0.27926430000000124,0.025156099999996684,25,7.0,1.0,1,5,0,2
4,6,0.3724930999999998,0.3478773000000004,0.02461579999999941,25,7.0,1.0,1,5,0,2
4,7,0.17613200000000262,0.15580229999999773,0.02032970000000489,18,6.5,0.5,1,4,1,2
5,6,0.3446300000000022,0.3150060000000039,0.02962399999999832,30,7.0,1.0,1,0,0,2
5,7,0.24713909999999828,0.2231127000000015,0.024026399999996784,23,6.5,0.5,1,9,1,2
6,7,0.33072940000000983,0.30594970000000643,0.024779700000003402,23,6.5,0.5,1,9,1,2
0,1,0.2684732000000025,0.24079290000000242,0.027680300000000102,18,7.0,1.0,1,2,0,4
0,2,0.31756420000000674,0.28900810000000376,0.02855610000000297,19,7.0,1.0,1,2,0,4
