Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Object Instances,Average Number of Materials,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.13547590000000298,0.1178278000000006,0.017648100000002387,16,6.5,0.5,1,4,1,2
0,2,0.1401414999999986,0.12208809999999914,0.018053399999999442,20,7.0,1.0,1,0,0,2
0,3,0.15906399999999365,0.14177209999999718,0.017291899999996474,18,7.0,1.0,1,2,0,2
0,4,0.18802209999999775,0.1691787999999974,0.01884330000000034,19,7.0,1.0,1,4,0,2
0,5,0.19543119999999448,0.17296590000000123,0.02246529999999325,24,7.0,1.0,1,3,0,2
0,6,0.25793069999999574,0.23529239999999874,0.022638299999997002,24,7.0,1.0,1,3,0,2
0,7,0.1845805000000027,0.16611819999999966,0.01846230000000304,17,6.5,0.5,1,8,1,2
1,2,0.15558049999999923,0.13864889999999974,0.01693159999999949,18,6.5,0.5,1,4,1,2
1,3,0.1329971000000043,0.11717490000000197,0.01582220000000234,16,6.5,0.5,1,4,1,2
1,4,0.295676499999999,0.2781093999999982,0.017567100000000835,17,6.5,0.5,1,8,1,2
1,5,0.20954379999999873,0.18838239999999473,0.021161400000003994,22,6.5,0.5,1,7,1,2
1,6,0.2753046999999995,0.253691400000001,0.021613299999998503,22,6.5,0.5,1,7,1,2
1,7,0.09398780000000784,0.0792358000000064,0.01475200000000143,15,6.0,0.0,0,4,0,2
2,3,0.19871529999999638,0.17975959999999702,0.018955699999999354,20,7.0,1.0,1,2,0,2
2,4,0.19411129999999588,0.17311599999999316,0.020995300000002715,21,7.0,1.0,1,4,0,2
2,5,0.2005833999999993,0.17682709999999702,0.023756300000002284,26,7.0,1.0,1,3,0,2
2,6,0.26396849999999716,0.23984529999999893,0.024123199999998235,26,7.0,1.0,1,3,0,2
2,7,0.21088879999999932,0.19210259999999835,0.018786200000000974,19,6.5,0.5,1,8,1,2
3,4,0.21418830000000355,0.1948513000000034,0.01933700000000016,19,7.0,1.0,1,6,0,2
3,5,0.23993939999999725,0.21685819999999723,0.023081200000000024,24,7.0,1.0,1,5,0,2
3,6,0.3206032999999948,0.29700899999999564,0.02359429999999918,24,7.0,1.0,1,5,0,2
3,7,0.18303250000001015,0.1650376000000051,0.017994900000005032,17,6.5,0.5,1,8,1,2
4,5,0.30350189999999344,0.2792782999999943,0.024223599999999124,25,7.0,1.0,1,5,0,2
4,6,0.3705537000000021,0.3461033000000029,0.024450399999999206,25,7.0,1.0,1,5,0,2
4,7,0.1740703000000039,0.15476890000000054,0.019301400000003355,18,6.5,0.5,1,4,1,2
5,6,0.34412679999999085,0.316107499999994,0.02801929999999686,30,7.0,1.0,1,0,0,2
5,7,0.3566275000000019,0.22190729999999803,0.13472020000000384,23,6.5,0.5,1,9,1,2
6,7,0.33135349999999875,0.30782709999999724,0.0235264000000015,23,6.5,0.5,1,9,1,2
0,1,0.2686800999999974,0.2415311000000031,0.027148999999994317,18,7.0,1.0,1,2,0,4
0,2,0.42671740000000113,0.3994526000000036,0.027264799999997535,19,7.0,1.0,1,2,0,4
0,3,0.33007039999999677,0.29945850000000007,0.030611899999996695,19,7.0,1.0,1,2,0,4
0,4,0.4339567000000031,0.397980000000004,0.035976699999999084,24,7.0,1.0,1,2,0,4
0,5,0.4402751000000009,0.40377080000000376,0.03650429999999716,24,7.0,1.0,1,2,0,4
0,6,0.3263107000000005,0.2967340000000007,0.02957669999999979,19,7.0,1.0,1,0,0,4
0,7,0.297599500000004,0.2701510000000056,0.027448499999998432,20,7.0,1.0,1,0,0,4
1,2,0.29533219999999716,0.2679848000000007,0.02734739999999647,19,7.0,1.0,1,0,0,4
1,3,0.4035190999999969,0.3735465999999974,0.029972499999999513,19,7.0,1.0,1,0,0,4
1,4,0.3941832999999946,0.3586845999999966,0.035498699999997996,24,7.0,1.0,1,0,0,4
1,5,0.40444670000000116,0.36711859999999774,0.03732810000000342,24,7.0,1.0,1,0,0,4
1,6,0.33629599999999726,0.30557950000000034,0.030716499999996927,19,7.0,1.0,1,2,0,4
1,7,0.3062716000000023,0.2788108999999963,0.027460700000006,20,7.0,1.0,1,2,0,4
2,3,0.3569439999999986,0.32558689999999757,0.031357100000001026,20,7.0,1.0,1,0,0,4
2,4,0.577637100000004,0.541758999999999,0.03587810000000502,25,7.0,1.0,1,0,0,4
2,5,0.47048550000000233,0.4324487000000019,0.038036800000000426,25,7.0,1.0,1,0,0,4
2,6,0.3807904000000022,0.34907809999999984,0.03171230000000236,20,7.0,1.0,1,2,0,4
2,7,0.39171580000000716,0.36335410000000223,0.02836170000000493,21,7.0,1.0,1,2,0,4
3,4,0.45747949999999804,0.418364099999998,0.03911540000000002,25,7.0,1.0,1,0,0,4
3,5,0.4743166999999957,0.4347555000000014,0.0395611999999943,25,7.0,1.0,1,0,0,4
3,6,0.5760864000000083,0.5417291000000048,0.03435730000000348,20,7.0,1.0,1,2,0,4
3,7,0.3705567000000016,0.34026039999999824,0.030296300000003384,21,7.0,1.0,1,2,0,4
4,5,0.6368170000000006,0.587411699999997,0.04940530000000365,30,7.0,1.0,1,0,0,4
