Variant i,Variant j,Time
0,1,16.2755753
0,2,3.936251200000001
0,3,2.6152151000000003
0,4,1.8688201000000007
0,5,2.5825689999999994
0,6,2.2722912000000015
0,7,2.2406214999999996
0,8,0.47397119999999404
0,9,0.6110399000000015
1,2,0.39373179999999763
1,3,1.3113762999999992
1,4,0.9720326999999997
1,5,0.059846200000002625
1,6,0.6797545999999954
1,7,0.6673458999999937
1,8,0.3950698000000017
1,9,0.46816659999999644
2,3,0.6368848999999983
2,4,0.28963079999999763
2,5,0.06591410000000053
2,6,0.2853156999999982
2,7,0.35192289999999815
2,8,0.20066010000000034
2,9,0.18515749999999542
3,4,0.13663019999999904
3,5,0.308985799999995
3,6,0.1864536000000001
3,7,0.19413129999999512
3,8,0.07329529999999806
3,9,0.0819706999999994
4,5,0.22740459999999985
4,6,0.2044830000000033
4,7,0.18285310000000266
4,8,0.03863309999999842
4,9,0.03220319999999788
5,6,0.1584582999999995
5,7,0.15754529999999534
5,8,0.11276430000000204
5,9,0.11836160000000007
6,7,0.02440149999999619
6,8,0.06691680000000133
6,9,0.08492700000000042
7,8,0.08110980000000012
7,9,0.08907299999999907
8,9,0.02459330000000648
