Variant i,Variant j,Time
0,1,17.2234136
0,2,4.226690300000001
0,3,2.6928848000000016
0,4,1.9551184999999975
0,5,2.6718587000000014
0,6,2.3044246000000044
0,7,2.283052899999987
0,8,0.4771800999999982
0,9,0.6203009000000037
1,2,0.4253630000000044
1,3,1.3369921000000033
1,4,1.0211666000000008
1,5,0.06152470000000676
1,6,0.6948088000000041
1,7,0.6744840000000067
1,8,0.41516330000000323
1,9,0.48290129999999465
2,3,0.6478079000000037
2,4,0.30908589999999947
2,5,0.07150310000000104
2,6,0.3013538000000011
2,7,0.2968781000000007
2,8,0.18799239999999884
2,9,0.18507339999999317
3,4,0.11556530000000009
3,5,0.29440049999999474
3,6,0.1871167999999983
3,7,0.1705328000000037
3,8,0.05901339999999777
3,9,0.06448100000000068
4,5,0.2521521999999976
4,6,0.192646400000001
4,7,0.19275989999999865
4,8,0.04218410000000006
4,9,0.03392860000001008
5,6,0.16595399999999927
5,7,0.16503850000000853
5,8,0.1074423999999965
5,9,0.12133070000000146
6,7,0.02713210000000288
6,8,0.07166229999999985
6,9,0.07948140000000592
7,8,0.06863299999999128
7,9,0.07628659999998888
8,9,0.026693500000007475
